Color,Size,Country,Carrier,Date Delivered,Number of Days to Ship
White,64GB,US,AT&T,2020-07-07 00:00:00,5
White,64GB,US,Sprint,2020-07-07 00:00:00,5
White,64GB,US,T-Mobile,2020-07-07 00:00:00,5
White,64GB,US,Verizon,2020-07-07 00:00:00,5
White,128GB,US,AT&T,2020-07-07 00:00:00,5
White,128GB,US,Sprint,2020-07-07 00:00:00,5
White,128GB,US,T-Mobile,2020-07-07 00:00:00,5
White,128GB,US,Verizon,2020-07-07 00:00:00,5
White,256GB,US,AT&T,2020-07-07 00:00:00,5
White,256GB,US,Sprint,2020-07-07 00:00:00,5
White,256GB,US,T-Mobile,2020-07-07 00:00:00,5
White,256GB,US,Verizon,2020-07-07 00:00:00,5
Black,64GB,US,AT&T,2020-07-07 00:00:00,5
Black,64GB,US,Sprint,2020-07-07 00:00:00,5
Black,64GB,US,T-Mobile,2020-07-07 00:00:00,5
Black,64GB,US,Verizon,2020-07-07 00:00:00,5
Black,128GB,US,AT&T,2020-07-07 00:00:00,5
Black,128GB,US,Sprint,2020-07-07 00:00:00,5
Black,128GB,US,T-Mobile,2020-07-07 00:00:00,5
Black,128GB,US,Verizon,2020-07-07 00:00:00,5
Black,256GB,US,AT&T,2020-07-07 00:00:00,5
Black,256GB,US,Sprint,2020-07-07 00:00:00,5
Black,256GB,US,T-Mobile,2020-07-07 00:00:00,5
Black,256GB,US,Verizon,2020-07-07 00:00:00,5
(PRODUCT)RED,64GB,US,AT&T,2020-07-07 00:00:00,5
(PRODUCT)RED,64GB,US,Sprint,2020-07-07 00:00:00,5
(PRODUCT)RED,64GB,US,T-Mobile,2020-07-07 00:00:00,5
(PRODUCT)RED,64GB,US,Verizon,2020-07-07 00:00:00,5
(PRODUCT)RED,128GB,US,AT&T,2020-07-07 00:00:00,5
(PRODUCT)RED,128GB,US,Sprint,2020-07-07 00:00:00,5
(PRODUCT)RED,128GB,US,T-Mobile,2020-07-07 00:00:00,5
(PRODUCT)RED,128GB,US,Verizon,2020-07-07 00:00:00,5
(PRODUCT)RED,256GB,US,AT&T,2020-07-07 00:00:00,5
(PRODUCT)RED,256GB,US,Sprint,2020-07-07 00:00:00,5
(PRODUCT)RED,256GB,US,T-Mobile,2020-07-07 00:00:00,5
(PRODUCT)RED,256GB,US,Verizon,2020-07-07 00:00:00,5
White,64GB,UK,,2020-07-04 00:00:00,2
White,128GB,UK,,2020-07-04 00:00:00,2
White,256GB,UK,,2020-07-04 00:00:00,2
Black,64GB,UK,,2020-07-04 00:00:00,2
Black,128GB,UK,,2020-07-04 00:00:00,2
Black,256GB,UK,,2020-07-04 00:00:00,2
(PRODUCT)RED,64GB,UK,,2020-07-04 00:00:00,2
(PRODUCT)RED,128GB,UK,,2020-07-04 00:00:00,2
(PRODUCT)RED,256GB,UK,,2020-07-04 00:00:00,2
White,64GB,Canada,,2020-07-02,0
White,128GB,Canada,,2020-07-02,0
White,256GB,Canada,,2020-07-02,0
Black,64GB,Canada,,2020-07-02,0
Black,128GB,Canada,,2020-07-02,0
Black,256GB,Canada,,2020-07-02,0
(PRODUCT)RED,64GB,Canada,,2020-07-02,0
(PRODUCT)RED,128GB,Canada,,2020-07-02,0
(PRODUCT)RED,256GB,Canada,,2020-07-02,0
White,64GB,HK,,2020-07-08 00:00:00,5
White,128GB,HK,,2020-07-08 00:00:00,5
White,256GB,HK,,2020-07-08 00:00:00,5
Black,64GB,HK,,2020-07-08 00:00:00,5
Black,128GB,HK,,2020-07-08 00:00:00,5
Black,256GB,HK,,2020-07-08 00:00:00,5
(PRODUCT)RED,64GB,HK,,2020-07-08 00:00:00,5
(PRODUCT)RED,128GB,HK,,2020-07-08 00:00:00,5
(PRODUCT)RED,256GB,HK,,2020-07-08 00:00:00,5
White,64 GB ,Germany,,2020-07-04 00:00:00,2
White,128 GB ,Germany,,2020-07-04 00:00:00,2
White,256 GB ,Germany,,2020-07-04 00:00:00,2
black,64 GB ,Germany,,2020-07-04 00:00:00,2
black,128 GB ,Germany,,2020-07-04 00:00:00,2
black,256 GB ,Germany,,2020-07-04 00:00:00,2
(PRODUCT) RED,64 GB ,Germany,,2020-07-04 00:00:00,2
(PRODUCT) RED,128 GB ,Germany,,2020-07-04 00:00:00,2
(PRODUCT) RED,256 GB ,Germany,,2020-07-04 00:00:00,2
White,64 GB ,France,,2020-07-06 00:00:00,4
White,128 GB ,France,,2020-07-06 00:00:00,4
White,256 GB ,France,,2020-07-06 00:00:00,4
Black,64 GB ,France,,2020-07-06 00:00:00,4
Black,128 GB ,France,,2020-07-06 00:00:00,4
Black,256 GB ,France,,2020-07-06 00:00:00,4
(PRODUCT) RED,64 GB ,France,,2020-07-06 00:00:00,4
(PRODUCT) RED,128 GB ,France,,2020-07-06 00:00:00,4
(PRODUCT) RED,256 GB ,France,,2020-07-06 00:00:00,4
white,64 GB ,Japan,,2020-07-04 00:00:00,1
white,128 GB ,Japan,,2020-07-04 00:00:00,1
white,256 GB ,Japan,,2020-07-04 00:00:00,1
black,64 GB ,Japan,,2020-07-04 00:00:00,1
black,128 GB ,Japan,,2020-07-04 00:00:00,1
black,256 GB ,Japan,,2020-07-04 00:00:00,1
(PRODUCT)RED,64 GB ,Japan,,2020-07-04 00:00:00,1
(PRODUCT)RED,128 GB ,Japan,,2020-07-04 00:00:00,1
(PRODUCT)RED,256 GB ,Japan,,2020-07-04 00:00:00,1
